SAC,0,0
HAL,46,-121
PLC,-106,115
TLC,-419,-487
PEW Fine Arts Center,27,-784
Hoyt,-318,-98
STEM,-303,78
HICKS,-272,-542
ZERBE,-964,-239
Ketler Hall,-781,164
Library Hall,-494,-263
Lincoln,-781,-150
Hopeman,-728,-311
Memorial,-1143,4
Crawford,-1081,298
Rockwell,-492,187
Rathburn,-687,774
Harbison Chapel,-870,588
PLC Rounabout,-188,331
Thorn Field,-1748,923
Tennis Court,-1905,1070
Soccer Field,-91,1010
Track throwing pit,-1514,708
Baseball field,-494,1137
President's House,-1301,-122
Harker Hall,-401,319
MEP Hall,-263,600
MAP Hall,-505,649
